u,v,pois_count
266331038,497324663,1
266331038,8208809716,1
266331041,266331042,1
266331041,292423591,1
266331041,318314053,1
266331042,93028831,1
266331042,266331041,1
266331042,266331045,1
266331042,266331710,1
266331045,266331042,1
266331045,266331710,1
266331045,1140874137,1
266331045,1140874229,1
266331081,266329166,1
266331081,1139421721,1
266331081,7151874695,1
266331710,266331042,1
266331710,266331045,1
266331710,292423545,1
266331710,6013173688,1
266415480,266415534,1
266415480,266517714,1
266415480,282838531,1
266415533,26692437,1
266415533,282685195,1
266415533,7912308879,1
266415534,266415480,1
266415534,267180948,1
266415534,431165883,1
266415534,1467125229,1
266415535,266461904,1
266415535,266517714,1
266415535,1467125229,1
266415542,267180682,1
266415542,267180724,1
266415542,1334767103,1
266415542,1555726504,1
266415543,266415829,1
266415543,267180682,1
266415543,1307947289,1
266415601,26692423,1
266415601,266415690,1
266415601,1516232795,1
266415630,267341291,1
266415630,267341314,1
266415630,1471783852,1
266415689,266324909,1
266415689,266415690,1
266415689,266640094,1
266415690,266415601,1
266415690,266415689,1
266415690,1652888756,1
266415690,5328287487,1
266415829,266415543,1
266415829,267180733,1
266415829,2945936482,1
266415829,10618763972,1
266415831,4877325327,1
266415913,4877325333,1
266416776,1516232796,1
266416776,1516232799,1
266416776,10618763993,1
266416776,10618763994,1
266461904,266415535,1
266461904,420787936,1
266461904,1304789430,1
266461909,266462360,1
266461909,1343052949,2
266461909,9370812497,1
266462360,266461909,1
266497639,1488281412,2
266517714,266415480,1
266517714,266415535,1
266633786,298676185,1
266633796,111478357,2
266633796,1142417068,1
266633796,2584912542,2
266634473,25248571,1
266634473,271653599,2
266634473,287506786,1
266634473,1139421715,1
266640057,266640058,1
266640057,430098083,1
266640057,431165883,1
266640057,1334722518,1
266640058,266640057,1
266640058,431165898,1
266640058,1334767103,1
266640058,9060541928,1
266640063,266640066,1
266640063,267180781,1
266640063,5328287485,1
266640066,266640063,1
266640066,266640094,1
266640066,282838264,1
266640094,266415689,1
266640094,266640066,1
266640094,5328287485,1
266700839,1803909380,1
266709571,271653593,1
266709574,287506738,1
266845208,266845242,3
266845208,266845318,3
266845208,2329062799,3
266845242,266845208,3
266845242,266845255,3
266845242,266845327,3
266845255,266845242,3
266845255,266845273,3
266845255,266845336,3
266845273,266845255,3
266845273,266845313,3
266845273,290723123,3
266845313,266845273,3
266845313,266845318,3
266845313,266845355,3
266845318,266845208,3
266845318,266845313,3
266845318,266845355,3
266845327,20927539,4
266845327,266845242,3
266845327,290723118,2
266845327,2329062799,2
266845336,266845255,3
266845336,290723123,2
266845336,1578110926,2
266845355,20927543,3
266845355,266845313,3
266845355,266845318,3
266845355,1578110920,2
266845355,4186218685,3
267023288,1015232856,1
267023288,1015232884,1
267023288,1605076904,1
267023289,1605049387,1
267023289,1605049399,1
267023289,1605049409,1
267023289,1605049418,1
267023289,1605049441,1
267023448,331357055,1
267023448,1605049435,1
267023448,1605054227,1
267023448,1605054238,1
267023450,267023451,1
267023450,2086327004,1
267023450,3527202781,1
267023451,267023450,1
267023451,1605054218,1
267023451,7574671660,1
267023452,1605049398,1
267023452,1605049443,1
267023452,1605049455,1
267023452,1605054223,1
267023452,1605054243,1
267023457,267023608,1
267023457,318310662,1
267023457,1605054220,1
267023457,1605054225,1
267023457,1605054245,1
267023608,267023457,1
267023608,318310681,1
267023608,1605057581,1
267023609,25962608,1
267023609,104234737,1
267023609,318310780,1
267023609,1605063135,1
267024285,1625107357,1
267024285,2701598222,1
267024285,3468249342,1
267180514,267180574,1
267180514,267180724,1
267180514,267180781,1
267180574,267180514,1
267180574,267180678,1
267180574,267180725,1
267180574,444087431,1
267180678,267180574,1
267180678,267180681,1
267180678,267180725,1
267180678,267180733,1
267180681,267180678,1
267180681,267180682,1
267180681,267180733,1
267180682,266415542,1
267180682,266415543,1
267180682,267180681,1
267180682,1515567309,2
267180724,266415542,1
267180724,267180514,1
267180724,267180725,1
267180724,1555726444,1
