u,v,roads_p_count
1473296,9683564986,3
1473298,654739,6
1473298,4012217797,4
1473298,9683564990,4
1473299,336470066,3
1473299,1200039600,3
1473299,9683564986,3
1473301,654740,3
1473301,336470064,3
1473301,9683564990,3
1731045,1731047,9
1731045,2093233857,3
1731045,3627941733,3
1731047,1731045,9
1731047,5667197472,3
1731047,7570731187,4
1731047,7570731191,4
1731050,20929944,3
1731050,20929959,4
1731050,278186792,3
1731057,336232785,7
1731057,1061673929,10
1731057,5667191522,6
2370639,2370640,5
2370639,527803251,6
2370639,9084807558,5
2370639,9084807560,6
2370640,2370639,5
2370640,10895059158,2
2370644,1185707939,9
2370644,8124949038,5
2370644,8316167654,5
2370740,1210764086,5
2370740,3996400507,4
2370740,4005885957,4
2370741,3996400293,3
2370741,3996485273,3
2370741,5539346932,3
6488605,267550712,9
6488605,4714895441,12
6488623,8082269,5
6488623,294211783,5
6488644,267550707,10
6488644,3098681284,9
6488644,3098681285,7
6488644,4199695889,7
6488644,10229662874,7
6488661,4199695659,5
6488661,4199695662,5
6488665,2327477960,5
6488665,3629166665,6
6488684,8217858,3
6488684,1629913475,9
6488684,1697866790,5
6488684,10584055661,4
6488690,3679259118,3
6488690,4482360386,3
6488690,9949466863,3
6488692,7670457,3
6488692,7673068,5
6488692,9952724263,3
6488693,7673068,5
6488693,7673078,4
6488693,4404424559,4
6488693,9598469660,4
6488711,6488712,5
6488711,17343186,4
6488711,976030619,4
6488712,976030618,4
6488712,1648067483,5
6488712,3662027359,4
6488724,9666731513,4
6488731,698037,5
6488731,3632212231,3
6488731,4929108050,3
6503247,6503261,4
6503247,2302872134,2
6503247,10902473677,1
6503251,8084552,7
6503251,8084556,5
6503251,8084562,6
6503251,7377063220,6
6503253,6503255,5
6503253,8084556,4
6503253,8084559,5
6503253,2327433452,4
6503255,6503253,5
6503255,25902649,4
6503256,8084565,4
6503256,8120880,5
6503256,25902649,4
6503256,3396834136,4
6503258,8084565,3
6503258,8120882,3
6503258,529793670,3
6503259,8120885,6
6503259,529793670,5
6503259,8485128266,5
6503260,8120886,5
6503260,2355133877,5
6503261,6503247,4
6503261,2366288520,6
6503261,9236370516,7
6503263,10289286,4
6503263,1625314947,3
6503263,2153564122,4
6503265,286531710,5
6503265,2153564121,6
6503265,7854846739,5
6503269,3703480844,6
6503269,4289244940,4
6503275,4289244937,7
6503278,2760235865,4
6503278,10169925739,4
6503281,2195105934,5
6503281,9725124539,5
6503284,1849285474,8
6503284,4289244937,7
6504010,6504012,7
6504010,8899944,8
6504010,4945414574,5
6504012,6504010,7
6504012,8099321,7
6504012,1206860277,6
6504012,4945414572,6
6504013,8099321,6
6504013,102941871,4
6504013,9905698232,3
6504016,3624808694,5
6504016,7212021130,4
6504019,8086627,4
6504019,1014815197,9
6504019,9483802143,4
6504024,8097233,5
6504024,8901303,6
6504024,11062538,6
6504024,5297278619,5
6504028,6504038,5
6504028,281180883,4
