u,v,railways_p_count
1476900180,3294550674,2
1488402536,1490962339,2
1490962339,1488402536,2
1496314332,1619530966,1
1496408439,6328329849,1
1512950420,1512950476,1
1512950420,5394379328,1
1512950476,1512950420,1
1512958855,6991051645,2
1531505278,9384786220,2
1555439286,1853300070,1
1555730315,4515629280,2
1568601459,8441650293,2
1568601459,8691876260,2
1570026212,9834698620,1
1573985881,1573985939,3
1573985918,5037644597,3
1573985918,9782463283,5
1573985939,1573985881,3
1578229642,1614160621,2
1578282344,593869909,2
1579405435,3830002742,2
1579437238,899205620,1
1579437238,1579437357,1
1579437357,1579437238,1
1579567610,1579567691,2
1579567632,1579567705,2
1579567691,1579567610,2
1579567699,1579567734,2
1579567702,9893481663,2
1579567705,1579567632,2
1579567734,1579567699,2
1579567759,9893481661,2
1582952838,300444904,2
1582952838,308637131,2
1584143227,4625203789,2
1585537532,8078450,1
1585537532,3093669085,1
1598907886,4393194734,1
1608092797,2765619849,2
1610642276,8447283477,2
1614160621,727392868,1
1614232469,9156241446,1
1619442323,4950627317,1
1619442444,1619442446,1
1619442446,1619442444,1
1619442446,1619442448,1
1619442448,1619442446,1
1619530764,3341926669,2
1619530833,1296172629,2
1619530864,9893481681,2
1619530966,1496314332,1
1619530966,1619530967,1
1619530967,1619530966,1
1619530970,6328329849,1
1619555026,1619555033,2
1619555032,408434443,2
1620260566,1620260581,2
1620260581,1620260566,2
1620260581,1620260598,2
1620260598,1620260581,2
1620374718,1620374821,1
1620882555,674093686,1
1620882555,674093689,1
1620882602,2194189868,2
1623906020,298466192,2
1623906020,7403412660,1
1623906347,9893481662,2
1623906353,2992867687,2
1625363958,268690828,2
1628379741,298099253,4
1628379741,4725608650,2
1628550490,300094233,2
1631288025,1631288069,1
1631288037,1631288070,1
1631288037,9091553422,1
1631288069,1631288025,1
1631288069,3353617264,2
1631288070,1631288037,1
1657693819,276073724,1
1657693819,424595291,3
1682352509,8977497987,1
1691677236,32359763,2
1756952141,8230445,2
1785106033,3991376018,2
1798826433,1798826439,2
1798826439,1798826433,2
1801254716,1801254723,2
1801254723,1801254716,2
1802854810,2428201600,1
1803909395,10895004017,6
1823323267,330974787,1
1853300069,9743390712,1
1853300069,9795471037,1
1853300070,1555439286,1
1853300071,5394379200,1
1853300072,330975227,1
1866790193,10653115985,1
1871856405,2302924764,4
1871870734,10233262218,3
1896822366,5073252280,1
1896822370,792914,2
1944632366,26692435,1
1944632366,27085026,1
1944632366,1307947289,1
1944632366,1307947290,1
1944632366,3675330840,1
1944632366,7912308880,1
1944632366,10566474939,1
1958097454,5109935211,1
1973430689,598201555,2
2025460909,6913910377,2
2036142132,6233139612,2
2042811789,2992867687,2
2042811789,9704717407,1
2042811820,9893481686,2
2093233857,4594332245,10
2096341256,6979216245,11
2155782417,287346618,1
2194189868,1620882602,2
2206895597,8977497995,1
2226036755,3627218951,3
2226036755,6048839944,1
2226046410,298518052,2
2251957916,30891690,1
2251957916,278781614,1
2253529695,586436646,1
2255974214,2255974215,1
2255974214,2255974219,1
2255974214,4669043028,1
2255974215,2255974214,1
2255974219,2255974214,1
2255974223,5697186645,1
2257829658,5065870648,1
2269786651,618888983,4
2269786651,618888984,2
2283820143,296206763,1
2283820143,2283820146,1
2283820145,296206772,1
2283820145,2283820147,1
2283820145,2283820148,1
2283820146,2283820143,1
2283820146,2283820151,1
2283820146,6036958723,1
2283820147,2283820145,1
2283820148,2283820145,1
2283820151,2283820146,1
2302924762,1330913881,4
2302924764,1871856405,4
2302924770,2428138770,2
2327433450,300371898,2
2327433450,9836262383,1
2328511277,24996842,2
2332703105,2647428580,3
2336904077,286511812,2
2336904077,9501036421,1
2336904077,9501036423,1
2336904077,10570665021,1
2338083476,7640634,2
2343875245,3100571343,4
2353726390,2428185167,1
2353726390,7187568402,4
2367865231,4789456563,4
2367865351,1416141846,2
2367865351,10671281868,1
2369579170,298795898,4
2369579170,6357644356,5
2378150438,2378150442,1
2378150442,2327425944,1
2378150445,2378150441,1
2378383716,2378383726,2
2378383716,2378383731,2
2378383718,2378383733,2
2378383718,2382771341,1
2378383726,2378383716,2
2378383726,2378383733,2
2378383731,2378383716,2
2378383731,2378383736,3
2378383731,10832288907,1
2378383733,2378383718,2
2378383733,2378383726,2
2378383736,2378383731,3
2378383736,7600398062,1
2378383736,7729856004,1
2382771341,2378383718,1
2393603490,10674353712,1
2393603490,10676015862,1
2428138756,1330937536,1
2428185164,2428185167,1
2428185167,2302924770,1
2428185167,2428185169,3
2428201598,291744070,1
2428201598,2428201599,1
2428201599,2428201598,1
2428201599,5999985006,1
2428201600,698019,1
2428201600,1802854810,1
2428201600,2428201601,1
2428201601,2428201600,1
2450336466,20930753,4
2460384709,7854846731,2
2472107013,2472107015,1
2472107013,5394379326,1
2472107015,2472107013,1
2472107027,2472107028,2
2472107027,2472107031,1
2472107028,2472107027,2
2472107028,2472107031,1
2472107031,2472107027,1
2472107031,5706462977,1
2472107031,10004960719,1
2479454888,6923443831,1
2505920896,9704717407,1
2512504197,298795432,3
2512504197,1190873103,7
2512504212,298795449,2
2512504212,3635229217,6
2513054100,298795496,2
2513054100,3635229217,4
2513054106,298795432,9
2516878400,287346618,1
2595937408,9320496923,1
2602121817,576717,4
2602121817,7836945748,3
2647428577,2647428583,3
2647428580,2332703105,3
2647428580,9850840305,1
2647428583,2647428577,3
2647428583,9850840304,1
2677289613,3525860483,2
2683325895,2302924770,2
2683325896,7187568423,2
2687461348,8084096,2
2687461348,1411014685,2
2691458207,8491602211,1
2691458207,8491602212,1
2691486189,8491663723,1
2691486189,8491663724,2
2694388856,2694388860,2
2694388860,2694388856,2
2700973883,1170269392,1
2737213860,2737213861,3
2737213860,2737213867,2
2737213861,2737213866,2
2737213861,2737213873,4
2737213866,2737213861,2
2737213867,2737213860,2
2737213872,2737213860,2
2737213872,2737213873,3
2760235872,3093678706,1
2765619849,1608092797,2
2765619849,2765619854,1
2765619854,2765619849,1
2765619854,2912495363,1
2765619854,10659676461,3
2765619898,10651284755,1
2815315653,5711295382,2
2825666668,3627218951,1
2899149634,8491602201,2
2912495362,6796507762,2
2912495363,2765619854,1
2912495363,10902459893,1
2912495365,2998172654,1
2912495366,1330913949,1
2912495366,2912495367,1
2912495367,2912495366,1
2912495367,9249469008,7
2912495368,10589601497,7
2912495368,10655888676,1
2912495370,10651284779,2
2912495370,10659728203,2
2913469209,2912495368,2
2913469209,10651284771,1
2918615959,2912495365,4
2918615959,6796507771,1
2919334829,2933638493,2
2931115240,7224402,5
2931115240,7726672,1
2933638491,9324326025,2
2933638492,2933638493,2
2933638493,2919334829,2
2933638493,2933638492,2
2940373755,8710151408,2
2940749198,6531895201,1
2940749198,8223078111,1
2992867687,1623906353,2
2992867687,2042811789,2
3008378230,266415911,2
3009249955,9948078901,3
3013003679,18165908,4
3047095448,5423479415,2
3086466162,3100571332,2
3086466162,3394239335,2
3093669085,1585537532,1
3093678706,2760235872,1
3100567815,5970423248,1
3100567816,5970423248,1
3100567817,3100571355,4
3100567818,3100571350,4
3100571343,2343875245,4
3100571345,3100571347,4
3100571346,3100571347,4
3100571347,3100571345,4
3100571347,3100571346,4
3100571348,3100571349,4
3100571349,3100571348,4
3100571350,3100567818,4
3100571351,3100571352,4
3100571352,3100571351,4
3100571353,3100571354,4
3100571354,3100571353,4
3100571355,3100567817,4
3100571356,3627218944,4
3106249629,3106249630,1
3106249629,3106249631,1
3106249630,3106249629,1
3106249631,3106249629,1
3198515811,285957773,1
3199215093,5068032530,1
3199215093,5068032580,1
3207920894,10131037295,9
3221718950,1834626316,2
3221718950,3221718956,2
3221719263,1029472891,2
3221745479,2349943036,2
3279874610,7487078,1
3279874610,6048839938,4
3279874620,6048840410,3
3284701118,3284701151,2
3284701151,24955038,2
3284701151,3284701118,2
3294550674,1476900180,2
3296230846,20930086,2
3296230846,7424040139,2
3308477823,287334347,3
3341926669,1619530764,2
3350413339,8082311,2
3353617264,6496142652,1
3379557973,618819473,2
