u,v,buildings_count
1629204950,4625116505,1
1629755717,6943455250,1
1631127483,1255213422,1
1632453764,1632453853,1
1632453793,1632453815,1
1632453795,1632453843,1
1632453815,1632453793,1
1632453843,1632453795,1
1632453853,1632453764,1
1637600152,10263580949,1
1637600158,1637600168,1
1637600168,1637600158,1
1637605766,1637605770,1
1637605770,1637605766,1
1637605789,1637605801,1
1637605801,1637605789,1
1647585431,1614292903,1
1652696656,422953464,1
1652696674,10121521894,1
1655806637,8188786463,1
1655806643,538264851,1
1656016339,20922362,1
1657479285,1657624841,1
1657479288,428915975,1
1657479288,1657624837,1
1657479288,9091138297,1
1657624837,1657479288,1
1657624837,1657624841,1
1657624837,4988130908,1
1657624840,1776959571,1
1657624841,1657479285,1
1657624841,1657624837,1
1657624841,9091138298,1
1659103289,4528134894,1
1660636314,9520334512,1
1670684654,1670684674,1
1670684674,1670684654,1
1678035930,3365417384,1
1679911200,1604869169,1
1679911204,1604867559,3
1679911233,1604868720,2
1680452999,1680453013,1
1680453013,1680452999,1
1680837639,1680837653,1
1680837640,1680837647,2
1680837647,1680837640,2
1680837653,1680837639,1
1682352469,1682352509,1
1682352482,1682352506,1
1682352489,1682352549,1
1682352492,1682352500,1
1682352496,1682352541,1
1682352497,1682352505,1
1682352500,1682352492,1
1682352505,1682352497,1
1682352506,1682352482,1
1682352509,1682352469,1
1682352541,1682352496,1
1682352549,1682352489,1
1682377080,2912471118,1
1696144134,1696144136,1
1696144134,1696144137,1
1696144136,1696144134,1
1696144137,1696144134,1
1704266819,1704266828,1
1704266821,1704266828,1
1704266828,1704266819,1
1704266828,1704266821,1
1704266828,1704266848,1
1704266848,1704266828,1
1705465932,118744,1
1718634468,3948130974,1
1732054284,1732054287,1
1732054287,1732054284,1
1736564261,1736564340,1
1736564340,1736564261,1
1740159271,1740159273,1
1740159273,1740159271,1
1740159294,1740159301,1
1740159301,1740159294,1
1740159315,1740159318,1
1740159318,1740159315,1
1744193938,1744193945,1
1744193945,1744193938,1
1744193952,298795722,1
1776959571,1657624840,1
1776959572,1776959577,1
1776959577,1042960674,1
1776959577,1776959572,1
1778829229,1778829230,1
1778829230,1778829229,1
1778829231,1778829232,1
1778829232,1778829231,1
1783563297,1316467061,1
1784421047,5764141027,1
1784421093,5764141030,1
1784499632,1784499636,1
1784499636,1784499632,1
1801254716,1801254723,1
1801254722,1801254723,1
1801254723,1801254716,1
1801254723,1801254722,1
1801254723,2505920896,1
1801617825,10621586585,1
1801617829,7290817841,1
1801667988,1116920301,1
1802532189,1616668918,1
1802532190,1802532191,1
1802532191,1802532190,1
1802532191,1802532202,1
1802532197,4670271594,1
1802532202,1802532191,1
1802532203,1802532219,1
1802532219,1802532203,1
1802532219,1802532221,1
1802532221,1802532219,1
1802532239,1802532244,1
1802532244,1802532239,1
1802532244,1802532269,1
1802532269,1802532244,1
1802532276,1802532279,1
1802532279,1802532276,1
1802532279,1802532286,1
1802532286,1802532279,1
1802532318,1802532323,1
1802532321,1802532325,1
1802532323,1802532318,1
1802532325,1802532321,1
1802532325,1802532326,1
1802532326,1802532325,1
1802532332,1802532333,1
1802532333,1802532332,1
1802532333,1802532334,1
1802532333,1802532353,1
1802532334,1802532333,1
1802532334,1802532341,1
1802532338,1802532343,1
1802532341,1802532334,1
1802532343,1802532338,1
1802532343,1802532350,1
1802532350,1802532343,1
1802532353,1802532333,1
1802532363,1802532367,1
1802532366,1802532368,1
1802532367,1802532363,1
1802532368,1802532366,1
1802532368,1802532369,1
1802532369,1802532368,1
1802532397,1579531407,1
1802645229,1802645239,1
1802645239,1802645229,1
1802808172,4624962058,1
1803790466,291748966,1
1803790466,291748994,1
1803821638,8505828177,1
1803874705,7570727616,1
1805784990,11038633550,1
1823323267,5397095869,1
1855678824,3730710123,1
1863560254,11034665353,1
1865279319,1146193390,1
1871856409,278619677,1
1874168771,8488795410,1
1900389685,1604868726,1
1964320685,2914060860,1
1964320691,1964320693,1
1964320693,1964320691,1
1968350970,1488281379,1
1968350972,1488281416,1
2021789797,26237010,1
2021836387,2021886937,1
2021886937,2021836387,1
2021886953,2035290806,1
2021894273,2021691367,1
2022036970,1247869998,1
2035290806,2021886953,1
2038058752,287910042,1
2042811820,26201555,1
2049631778,2049631800,1
2049631778,2050031384,1
2049631778,6570982828,1
2049631800,2049631778,1
2050031384,2049631778,1
2050031384,3491787208,1
2051881003,1419589855,1
2067337720,3379923762,1
2104860290,26201555,1
2120239980,9924993838,1
2137074832,5045404828,1
2141443274,2141443284,1
2141443284,2141443274,1
2160794818,2749169153,1
2160794866,2749169111,1
2160794868,2749169157,1
2160800505,2749169080,1
2160807145,2749169140,1
2182156269,3641701416,1
2190121056,2914093949,1
2190121062,2914093949,1
2201110430,2201110435,1
2201110435,2201110430,1
2205993214,2524227438,1
2205993214,8892858813,1
2211699865,2749169080,1
2211699865,2749169090,1
2226036755,6048839944,1
2237901290,9800309546,1
2248088346,2248088347,1
2248088347,2248088346,1
2251957732,2251957734,1
2251957734,2251957732,1
2253529695,586436646,1
2255813400,2824284164,1
2255813406,2931072630,1
2255813447,2380873316,2
2255813474,10563540172,1
2255813486,10563540159,1
2255827404,2380873318,1
2257829654,2257829676,1
2257829658,5065870648,1
2257829658,5065870713,1
2257829658,5066122141,1
2257829676,2257829654,1
2324008039,2324008059,1
2324008039,2324008071,1
2324008071,2324008039,1
2334460301,2364225913,1
2340692314,3341926689,1
2340692316,2340692315,1
2340692317,1620062297,1
2351920802,2931072630,1
2364225913,2334460301,1
2367908379,2367908383,1
2367908383,2367908379,1
2367908385,2367908387,1
2367908387,2367908385,1
2378383716,2378383726,1
2378383716,2378383728,1
2378383716,2378383731,1
2378383716,10832288908,1
2378383717,2378383733,1
2378383717,2953861030,1
2378383717,2953861031,1
2378383718,2378383725,1
2378383718,2378383733,1
2378383718,2382771341,2
2378383718,10832288911,1
2378383723,2378383731,1
2378383723,2953861834,1
2378383723,2953861835,1
2378383725,2378383718,1
2378383725,2953861032,1
2378383725,2953861833,1
2378383726,2378383716,1
2378383726,2378383729,1
2378383726,2378383733,1
2378383726,10832288909,1
2378383728,2378383716,1
2378383728,2953861028,1
2378383728,2953861029,1
2378383729,2378383726,1
2378383729,2953066007,1
2378383729,2953066008,1
2378383731,2378383716,1
2378383731,2378383723,1
2378383731,2378383736,1
2378383731,10832288907,1
2378383733,2378383717,1
2378383733,2378383718,1
2378383733,2378383726,1
2378383733,10832288910,1
2378383736,2378383731,1
2378383736,7600398062,1
2378383736,7729856004,1
2378383736,10832288906,1
2378546714,7217650,1
2380873315,2380873319,1
2380873316,2255813447,2
2380873316,2824284164,1
2380873316,2870211765,1
2380873318,2255827404,1
2380873318,2380873319,1
2380873318,2870211770,1
2380873319,2380873315,1
2380873319,2380873318,1
2380873319,8390857281,1
2382771341,2378383718,2
2388210359,2921258262,1
2390476095,2440536494,1
2398732086,725111,1
2402868685,2402868700,1
2402868700,2402868685,1
2402868722,2402868731,1
2402868731,2402868722,1
2405293237,298795793,1
2440332696,2440332700,1
2440332700,2440332696,1
2440332700,2440332710,1
2440332700,2440332718,1
2440332710,2440332700,1
2440332710,2440332718,1
2440332718,2440332700,1
2440332718,2440332710,1
2440536494,2390476095,1
2440536548,2440536589,1
2440536589,2440536548,1
2440544137,2440544138,1
2440544138,2440544137,1
2460384709,2460384710,1
2460384710,2460384709,1
2461499065,2461499066,1
2461499066,2461499065,1
2490874012,2933533699,1
2505920896,1801254723,1
2508055967,9716747044,1
2508122608,3441727080,1
2510361361,4903882042,1
2512504212,3635229217,1
2513054100,3635229217,1
2523495844,2912471784,1
2524227438,2205993214,1
2524246675,2524246679,1
2524246679,2524246675,1
2531886187,4233708567,1
2534762559,25284535,1
2539866912,2539866943,1
2539866943,2539866912,1
2583448421,2583448422,1
2583448422,2583448421,1
2596758493,2596758503,1
2596758493,10012303881,1
2596758503,2596758493,1
2611016712,2611016715,1
2611016715,2611016712,1
2611016715,2611016718,1
2611016718,2611016715,1
2611016719,1585513990,1
2631272248,2631272250,1
2631272250,2631272248,1
2631272250,4965953355,1
2631272250,4965953356,1
2631272263,4965953355,1
2632159303,2632159323,1
2632159323,2632159303,1
2632159325,2632159333,1
2632159333,2632159325,1
2647428577,9944631037,1
2659476593,3439446085,1
2659476595,3439446101,1
2682293910,2682293911,1
2682293911,2682293910,1
2682293913,2682293912,1
2682293914,2682293915,1
2689495815,24956264,1
2689497853,24956264,1
2689497854,24956264,1
2700993642,8420088800,1
2721583349,2721583357,1
2721583357,2721583349,1
2721583360,2721583368,1
2721583368,2721583360,1
2721583368,2726521215,1
2726514262,286401979,1
2726521215,2721583368,1
2737213861,2737213866,1
2737213866,2737213861,1
2737213867,2737213869,1
2737213869,1190873106,1
2749169080,2160800505,1
2749169080,2211699865,1
2749169080,2749169091,2
2749169090,2211699865,1
2749169091,2749169080,2
2749169095,2749169104,1
2749169099,2749169101,1
2749169101,2749169099,1
2749169104,2749169095,1
2749169107,2749169110,1
2749169110,2749169107,1
2749169111,2160794866,1
2749169117,2749169125,1
2749169121,2749169130,1
2749169125,2749169117,1
2749169130,2749169121,1
2749169132,2749504988,1
2749169133,2749504990,1
2749169136,2749504990,1
2749169137,2749504988,1
2749169138,2749169145,1
2749169140,2160807145,1
2749169145,2749169138,1
2749169146,2749562208,1
2749169151,2749562205,1
2749169153,2160794818,1
2749169157,2160794868,1
2749315215,2749315220,1
2749315220,2749315215,1
2749315223,2749562201,1
2749315226,2749315230,1
2749315230,2749315226,1
2749315235,2749562202,1
2749504988,2749169132,1
2749504988,2749169137,1
2749504988,2749504990,1
2749504990,2749169133,1
2749504990,2749169136,1
2749504990,2749504988,1
2749562201,2749315223,1
2749562202,2749315235,1
2749562205,2749169151,1
2749562208,2749169146,1
2765619849,1608092797,1
2765619898,6796507760,1
2824284164,2255813400,1
2824284164,2380873316,1
2824284164,2931072630,2
2870211765,2380873316,1
2870211765,2870211766,1
2870211765,2870211770,1
2870211766,2870211765,1
2870211767,2870211770,1
2870211770,2380873318,1
2870211770,2870211765,1
2870211770,2870211767,1
2910711808,8042128672,1
2912471118,1682377080,1
2912471784,2523495844,1
2912495370,10651284782,1
2914060860,1964320685,1
2914093948,2914093949,1
2914093949,2190121056,1
2914093949,2190121062,1
2914093949,2914093948,1
2918518726,2918518727,1
2918518727,2918518726,1
2920731842,2920731844,1
2920731842,2920731845,1
2920731844,2920731842,1
2920731845,2920731842,1
2921258262,2388210359,1
2930997119,2930997135,1
2930997125,2930997135,1
2930997132,2930997135,1
2930997135,2930997119,1
2930997135,2930997125,1
2930997135,2930997132,1
2931072629,2931072630,2
2931072630,2255813406,1
2931072630,2351920802,1
2931072630,2824284164,2
2931072630,2931072629,2
2931115240,4950749455,1
2933533699,2490874012,1
2933614546,4726329703,1
2933625545,2989282130,1
2939807209,5264712075,1
2939807210,5264712077,1
2943813059,1580168438,1
2953066007,2378383729,1
2953066008,2378383729,1
2953861028,2378383728,1
2953861029,2378383728,1
2953861030,2378383717,1
2953861031,2378383717,1
2953861032,2378383725,1
2953861833,2378383725,1
2953861834,2378383723,1
2953861835,2378383723,1
2953861836,3417201677,1
2953861837,3417201677,1
2953861838,3417201674,1
2953861839,3417201674,1
2953861840,3417201672,1
2953861841,3417201672,1
2953861842,3417201669,1
2953861843,3417201669,1
2964845255,2964845258,1
2964845258,2964845255,1
2964845258,2964845265,1
2964845265,2964845258,1
2987398131,1505684178,1
2989282130,2933625545,1
2994753925,2994753927,2
2994753927,2994753925,2
2998172676,4190022545,1
3013003687,3013003690,1
3013003690,3013003687,1
3013003708,3013003713,1
3013003713,3013003708,1
3017829951,454435082,1
3017829966,454435082,1
3017829976,454425114,1
3017829976,454438852,1
3017829987,454425114,1
3044375185,3930387040,1
3054475992,3556528127,1
3085198344,3085198345,1
3085198345,3085198344,1
3085198349,1579375911,1
3088872708,3088872711,1
3088872711,3088872708,1
3089139879,3089139922,1
3089139880,3089139923,1
3089139884,3089139924,1
3089139907,3089139927,1
3089139908,3089139928,1
3089139909,3089139926,1
3089139910,3089139919,1
3089139916,4714003139,1
3089139917,3089139919,1
3089139919,3089139910,1
3089139919,3089139917,1
3089139921,3089139924,2
3089139922,3089139879,1
3089139923,3089139880,1
3089139924,3089139884,1
3089139924,3089139921,2
3089139926,3089139909,1
3089139927,3089139907,1
3089139928,3089139908,1
3090349567,3090349568,1
3090349568,3090349567,1
3100567817,3100571355,1
3100571355,3100567817,1
3105222847,478634574,1
3105222848,3105222863,1
3105222863,3105222848,1
3105222864,3105222865,1
3105222865,3105222864,1
3105224665,478634690,1
3106249629,5703164369,1
3123633726,3123637851,2
3123637851,3123637831,2
3123637851,7848738167,1
3127283607,1579405495,1
3127841165,9905698251,1
3127841175,3127841178,1
3127841178,3127841175,1
3127841178,3127841180,1
3127841179,10280614089,1
3127841180,3127841178,1
3142820974,3142820976,1
3142820976,3142820974,1
3188612087,3188612089,1
3188612089,3188612087,1
3194196849,3194196851,1
3194196851,3194196849,1
3208182416,3208182417,1
3208182417,3208182416,1
3224267813,3224267814,1
3224267814,3224267813,1
3224267818,3224267819,1
3224267819,3224267818,1
3224274862,3224274863,1
3224274863,3224274862,1
3240114264,3240114265,1
3240114265,3240114264,1
3279874620,6048840410,1
3288523970,3288523974,1
