u,v,traffic_p_count
8078536,8078535,1
8078536,21880791,1
8078536,2539866943,1
8079923,2701598252,1
8079923,5996601373,2
8079923,5996601374,2
8079923,5996601375,2
8079927,1234226388,1
8079931,4945354183,1
8081497,4927487166,2
8081497,6991051645,1
8081502,8081503,1
8081503,8081502,1
8081503,73076534,2
8081503,286496981,2
8082274,4199695889,2
8082281,687878,3
8082281,12728022,2
8082281,298466188,2
8082282,298466188,2
8082283,3646996361,1
8082284,8082286,1
8082286,8082284,1
8082286,3745067960,1
8082310,4200057993,1
8082311,1656326851,1
8084096,2687461348,1
8084548,8084552,1
8084552,8084548,1
8084563,2328511277,1
8084565,6503258,1
8084568,697799,2
8084799,6527626,1
8084920,1368467377,1
8084929,17556289,2
8084929,1574274906,2
8084929,3605963242,2
8084929,8663243441,2
8084930,281684193,2
8084930,1574274904,2
8084930,4716608955,2
8084930,8960110436,2
8084936,8084940,1
8084936,8088635,1
8084936,8325355,1
8084936,433548403,1
8084940,8084936,1
8084940,8084938,1
8084941,8084942,1
8084942,698671,3
8084942,8084941,1
8084942,899199399,1
8084942,1183182388,1
8084970,1472966169,2
8084970,4514061542,2
8084970,8142995800,2
8084977,3180508470,1
8084989,8084991,2
8084989,271645955,2
8084989,9370103434,2
8084989,9370103436,2
8084991,8084989,2
8084992,8526376060,1
8085003,9626507150,1
8085013,278382426,2
8085013,1660766248,2
8085013,3187560137,2
8085013,3188612089,2
8085014,271805196,2
8085014,278382426,2
8085014,3188608815,2
8085014,6121514211,2
8085026,7469747,1
8085026,738971048,1
8085026,4968541959,1
8085026,9851999308,1
8085596,8895232,1
8085603,8447399,1
8085618,8085620,2
8085618,1419606031,2
8085618,3208181884,2
8085618,9084229146,2
8085619,298629942,2
8085619,3207917497,2
8085619,3207917500,2
8085620,697797,1
8085620,3208181883,1
8085621,697799,2
8085670,8078455,2
8085671,7244229,1
8085673,8538468,2
8085679,6503265,3
8085679,7427909255,1
8085685,698032,2
8085743,152896918,1
8085743,475132348,1
8085743,1579531415,1
8085743,4964730229,1
8086163,8321836226,1
8086165,299506938,1
8086165,6570982811,1
8086165,6571996701,1
8086168,3491860673,1
8086170,793294,2
8086171,8086173,2
8086171,4494556203,1
8086171,9452645843,1
8086173,8086171,2
8086173,18090355,1
8086173,18090394,1
8086173,21763353,1
8086178,6570982883,1
8086180,1441301,4
8086180,7766760,2
8086180,721514737,2
8086180,8658464205,2
8086412,8086413,2
8086412,8097291,2
8086412,5298340096,2
8086412,8575815752,2
8086413,8086412,2
8086415,7726656,2
8086432,8796321073,1
8086436,1288922437,1
8086436,1802532149,1
8086436,1802532158,1
8086438,8086439,1
8086438,20930530,1
8086438,1573491346,1
8086438,10075093698,1
